time,x,y,z
4.097681167,2.602773735,0.6694576603,-5.418291979
4.107647167,2.642094506,2.394652911,-4.160904094
4.117612167,1.628792498,4.844050963,-1.646547861
4.127578167,-0.05183447041,6.199432628,0.8693137372
4.137543167,-2.519856416,4.684592714,2.940607729
4.147509167,-3.460599155,4.917328269,4.851324314
4.157474167,-2.422949926,6.778064318,5.688524559
4.167440167,-2.823786792,6.680766065,4.769633449
4.177405167,-3.555538056,4.393571529,2.824397534
4.187371167,-2.785940689,2.064622611,1.935781553
4.197336167,-2.738109003,-0.2353632939,2.852955335
4.207302167,-1.622355299,-1.112555569,5.192543846
4.217267458,-0.1135632337,-2.050529067,6.292895107
4.227232458,1.115780747,-3.453724583,5.290125105
4.237198458,2.325374661,-3.889208833,3.142089039
4.247163458,4.217760372,-3.248000241,1.488582991
4.257129458,5.044492931,-3.885680038,-0.3773395371
4.267094458,4.947141468,-5.477157653,-2.081247414
4.277060458,4.433945968,-6.536671375,-2.069877796
4.287025458,3.707686701,-6.827772667,-2.365531438
4.296991458,1.407154081,-7.296672,-1.899859768
4.306956458,-0.71879325,-7.888903729,0.3393110007
4.316922458,-2.69936389,-9.079807895,3.232100784
4.326887458,-4.171408324,-10.01119567,5.862281588
4.336853458,-5.231914904,-10.77847667,8.122863691
4.346818458,-6.237085773,-10.79359055,8.941063993
4.356784458,-6.115967132,-9.897376113,9.052347032
4.366749458,-5.441645758,-9.273740158,9.151817526
4.376715458,-5.056023055,-9.704719713,8.433971817
4.386680458,-4.354181761,-10.87952591,6.683803693
4.396646458,-2.841793585,-12.84455991,5.645580268
4.406611458,-0.5510800485,-14.96188582,6.546873597
4.416577458,2.046880404,-17.61705733,8.231703179
4.426542458,3.570206966,-22.54105844,9.849312
4.436508458,2.655339911,-27.63556436,11.75959268
4.446473458,-1.031408203,-28.60144019,11.65686177
4.456439458,-5.756602521,-25.96516922,7.21528519
4.466404458,-8.600689384,-20.88741908,0.8401589352
4.476370458,-13.50705529,-12.72609532,-6.601600027
4.486335458,-4.566466094,-1.777536017,-8.004968036
4.496301458,1.668377856,4.766234463,-9.877983238
4.506266458,2.553396045,8.199072207,-10.40189727
4.516232458,4.538103882,9.841135254,-7.649462587
4.526197458,6.983524951,10.12955618,-2.125155911
4.536163458,8.856774625,10.23747356,1.992204845
4.546128458,10.431269,10.98865133,4.411242984
4.556094458,11.42359763,11.23034014,3.947998493
4.566059458,12.08204323,11.77016912,3.133907615
4.576025458,11.40387965,13.91239013,0.9943745703
4.585990458,12.09998717,13.30601399,-2.781594161
4.595956458,9.746791014,12.37119038,-6.399692162
4.605921458,6.044042872,11.45660633,-6.938652248
4.615887458,4.053827249,11.4885754,-6.831562833
4.625852458,2.767763157,11.59463804,-6.3237801
4.635818458,1.40349811,10.889955,-5.900905371
4.645783458,0.7642030191,9.970172778,-5.575087405
4.655749458,0.1327651244,9.281230441,-5.344619401
4.665714458,-0.4119103226,9.11611735,-4.933834375
4.675680458,0.05429578274,9.655226541,-4.197948544
4.685645458,0.7494472781,9.88650497,-3.48010722
4.695611458,1.268964787,10.03244679,-3.482875
4.705576458,1.563655978,10.0354663,-4.142496182
4.715542458,1.606117873,10.00312301,-4.322562942
4.725507458,1.354622988,10.13915965,-3.684562425
4.735473458,1.159927079,10.29388516,-2.65940051
4.745438458,1.330219634,10.46308721,-1.893741534
4.755404458,1.608493889,10.60934245,-1.382415974
4.765369458,1.936904218,10.55481482,-1.350366215
4.775335458,2.612122848,10.06881765,-2.092018863
4.785300458,3.071559339,9.20236729,-3.352580909
4.795265458,2.966507678,8.315672119,-4.258478043
4.805231458,2.666449621,7.670278675,-4.631914856
4.815196458,2.198023912,7.42401851,-4.306648867
4.825162458,1.694094203,7.524245049,-3.778550569
4.835127458,1.343445743,7.77523912,-3.250632365
4.845093458,1.22660171,8.144142879,-2.739052451
4.855058458,0.9586051056,8.61076589,-2.295084769
4.865024458,1.130761168,9.467010516,-1.744463873
4.874989458,1.662909832,10.20627282,-1.111126802
4.884955458,2.232115226,10.58977532,-0.692137548
4.894920458,2.907228898,10.81941653,-0.5228149004
4.904886458,3.525996169,10.83052624,-0.4480627799
4.914851458,4.025611218,10.85570435,-0.104940564
4.924817458,4.674710043,10.80492245,0.8908500557
4.934782458,5.659569731,10.60468806,1.788560796
4.944748458,6.922373015,9.90307364,2.30110974
4.954713458,7.512354736,8.925893977,2.557381507
4.964679458,7.582353508,7.842236516,3.384722761
4.974644458,5.363987718,5.564817941,5.690912561
4.984610458,3.470719516,-0.7198822939,12.90012016
4.994575458,-15.1820101,-32.48840486,22.51147387
5.004541458,-15.19872378,-43.83874156,20.40998222
5.014506458,-12.97319515,-44.8238056,11.96446976
5.024472458,-13.6694851,-49.60657073,9.753846849
5.034437458,-7.602064472,-42.09234664,8.865910315
5.044403458,0.2386409506,-30.13915733,6.750260807
5.054368458,0.4458314824,-23.48208594,6.256227218
5.064334458,-1.989261064,-13.54641173,4.410261821
5.074299458,-7.103744289,-4.019143905,1.701262597
5.084265458,-13.63640857,1.408126473,-1.531181712
5.094230458,-10.67916756,2.608812447,-0.09729708374
5.104196458,-5.091560093,0.3445302254,0.1534350318
5.114161458,-3.341003129,-3.858713849,-2.752020991
5.124127458,-5.007936723,-10.16887052,-3.525940913
5.134092458,-3.259559017,-12.80128116,-3.806530958
5.144058458,0.14286502,-9.434634483,-3.441236393
5.154023458,2.516952689,-3.945429227,-3.906663064
5.163989458,3.233966923,-0.3763080883,-4.204728683
5.173954458,3.425762321,2.767684804,-4.175514824
5.183920458,2.779821577,5.758700502,-4.232479276
5.193885458,2.043986617,7.603261982,-3.784491048
5.203851458,1.863751457,7.922762616,-3.148126289
5.213816458,1.638120854,7.70936965,-2.272934931
5.223782833,1.468489619,7.336980951,-0.5429838476
5.233747833,0.7588475543,6.214013829,2.336377805
5.243713833,0.4174438351,4.761503481,4.980223845
5.253678833,1.43379692,4.030930138,6.328488278
5.263644833,1.992880491,3.042255433,5.214377934
5.273609833,2.289436943,2.430893369,2.439618292
5.283575833,2.008598099,2.391507109,0.9294330543
5.293540833,1.058596586,2.668407853,0.925712471
5.303506833,0.2890930662,2.889523821,0.7664277385
5.313471833,-0.3698089081,3.249330482,1.12241149
5.323437833,-1.009833147,3.388586601,0.6615766369
5.333402833,-1.197646006,3.005991002,-0.1804972614
5.343368833,-0.5960210171,2.269667507,-1.027887594
5.353333833,0.5622241107,1.647163573,-1.652396246
5.363299833,1.859480943,0.9410684288,-1.526729057
5.373264833,2.00292016,-0.03696141958,-0.5970884264
5.383230833,1.17805988,-0.9748624116,0.5564362442
5.393195833,0.4323726538,-1.401691028,1.258342443
5.403161833,-0.3059959048,-1.709607743,1.237634383
5.413126833,-1.225665863,-2.363681379,0.3726937781
5.423092833,-2.300269202,-3.29339393,-1.179531039
5.433057833,-2.727503908,-4.014387195,-2.619544134
5.443023833,-2.232602592,-4.096565718,-3.03745253
5.452988833,-1.834453983,-3.596983706,-2.370023561
5.462954833,-1.168019918,-2.256054019,-1.420636737
5.472919833,0.4999506792,-0.7122206873,-0.8972599196
5.482885833,1.253357107,0.1151819623,-0.1915097612
5.492850833,0.7560955623,0.5303822207,0.5084691954
5.502815833,-0.1480096927,0.7922983056,0.7972900736
5.512781833,-0.7133266881,1.11552654,1.004493031
5.522746833,-0.938596226,1.537561024,1.368330031
5.532712833,-1.000416498,1.950974373,1.726845627
5.542677833,-0.9635787472,2.296255381,1.607270798
5.552643833,-0.6464713785,2.462884655,1.091416715
5.562608833,-0.3403023961,2.24954256,0.5305199227
5.572574833,0.4045027775,1.422088455,0.07364480406
5.582539833,1.423421912,0.3049001366,-0.5173423451
5.592505833,1.983010975,-0.5941268116,-1.212624526
5.602470833,2.129549216,-1.322457163,-1.671623207
5.612436833,1.96148065,-1.842685694,-1.80746996
5.622401833,1.363797854,-1.811390811,-1.619073549
5.632367833,0.3254548538,-1.425614326,-0.9377705991
5.642332833,-0.5427175069,-0.8513206851,0.1993385983
5.652298833,-0.8494343734,-0.1601148909,1.258523414
5.662263833,-0.9402629748,0.5195110774,1.700611071
5.672229833,-0.8893237862,0.9744782495,1.34989683
5.682194833,-0.7005338573,1.001006482,0.7624801371
5.692160833,-0.116475074,0.582979095,0.4425814538
5.702125833,0.5455472669,0.09751343071,0.1951060912
5.712091833,0.8203430137,-0.1923453283,-0.06297392786
5.722056833,0.9267901129,-0.3112613225,-0.3046951917
5.732022833,0.7950201845,-0.2612576884,-0.5165833765
5.741987833,0.5612695527,-0.2235045558,-0.6800069144
5.751953833,0.4380505925,-0.3169664508,-0.705325212
5.761918833,0.3477903405,-0.3358476949,-0.6253984518
5.771884833,0.1553204665,-0.2516618228,-0.4383985019
5.781849833,-0.08731647134,-0.07920112073,-0.2239378345
5.791815833,-0.1605531397,0.1302473134,0.1452518535
5.801780833,0.03656760961,0.3475456345,0.5728797841
5.811746833,0.3126386341,0.4624445915,0.8210524271
5.821711833,0.4190781319,0.43490596,0.8131620482
5.831677833,0.4125716427,0.3308255213,0.4976033145
5.841642833,0.3477514565,0.1992000192,0.08155520976
5.851608833,0.2874295333,-0.03362382889,-0.2071775217
5.861573833,0.253917971,-0.351097818,-0.2644605008
5.871539833,0.2863165158,-0.5515953344,-0.09879543275
5.881504833,0.3283205742,-0.5211506367,0.1616597253
5.891470833,0.2601765382,-0.3498739958,0.3505487645
5.901435833,0.1506722224,-0.2115569401,0.3623342662
5.911401833,0.08242322892,-0.1700417089,0.2483455744
5.921366833,0.02664137632,-0.1059766906,0.06562783286
5.931332833,-0.009979735315,0.02669721723,-0.1404005648
5.941297833,-0.05841806978,0.1061678946,-0.2770457554
5.951263833,-0.05989507645,0.09096922696,-0.3094255891
5.961228833,-0.03249823987,0.02233987212,-0.252931838
5.971194833,-0.1327800348,0.03001551211,-0.1803363168
5.981159833,-0.2747945774,0.1064859831,-0.08371692538
5.991125833,-0.2983302051,0.1777863461,0.06261066958
6.001090833,-0.1807742733,0.1624181092,0.2364729492
6.011056833,0.06308444023,0.06813877344,0.3738940653
6.021021833,0.1716812682,-0.004864298701,0.4311663732
6.030987833,0.1004417163,-0.02761172175,0.2858715427
6.040952833,-0.05373737365,0.02896535218,0.0721639967
6.050918833,-0.1846623793,0.03943654597,-0.08700978488
6.060883833,-0.2697346893,0.04484171212,-0.1080881202
6.070849833,-0.2510358784,0.1681986666,-0.01625292063
6.080814833,-0.1542425323,0.2572119999,0.07317030251
6.090780833,-0.06994410127,0.2214498442,0.0661568597
6.100745833,0.02814089477,0.1015170193,-0.03792811051
6.110710833,0.1423992893,-0.05082867622,-0.1127881122
6.120676833,0.218141782,-0.1305689102,-0.1003582473
6.130642833,0.2975612962,-0.1472802526,-0.08118274212
6.140607833,0.3687669343,-0.1668660861,-0.04823046595
6.150572833,0.2929849729,-0.1087003237,-0.0288004607
6.160538833,0.1115710142,0.02839466393,-0.1583304669
6.170503833,0.08664813459,0.06383112967,-0.2269652304
6.180469833,0.1472393221,0.07739491582,-0.09605425805
6.190434833,0.134208802,0.1154977119,0.1117844376
6.200400833,0.1183684024,0.2041222054,0.248156417
6.210365833,0.1437605211,0.2982284635,0.2870886406
6.220331208,0.2163928798,0.3218558925,0.2915179065
6.230296208,0.1968310198,0.3307050687,0.3232434368
6.240262208,0.1245269823,0.3397507113,0.2996750647
6.250227208,0.09536896437,0.3082798272,0.1989152598
6.260193208,0.03624747455,0.2189279401,0.1501313549
6.270158208,0.06516663373,0.1684354788,0.07173130274
6.280124208,0.07706103981,0.2150664389,-0.005983455777
6.290089208,0.08590261459,0.3436543125,-0.05558319345
6.300055208,0.3068341032,0.5857775724,-0.1817773631
6.310020208,0.6129241481,0.8272149539,-0.3196487148
6.319986208,0.9447840419,0.9687836462,-0.4770300324
6.329951208,1.18407111,0.968294819,-0.573846475
6.339917208,1.232096631,0.7878006274,-0.5983751062
6.349882208,0.8852269346,0.4939300936,-0.569143998
6.359848208,0.309957101,0.2955270499,-0.4733230439
6.369813208,-0.280034852,0.1383287501,-0.3668028545
6.379779208,-0.6770119706,0.2280349785,-0.07329397112
6.389744208,-0.2913126692,0.6157691109,0.05415457249
6.399710208,0.6189590594,1.12757005,-0.01358395904
6.409675208,1.521599587,1.519807123,-0.2810741946
6.419641208,2.212423558,1.725030359,-0.5955932933
6.429606208,2.848894736,1.903130701,-0.8235762316
6.439572208,3.613595353,2.04128228,-0.732010881
6.449537208,3.961524273,2.065664,-0.1027475658
6.459503208,2.988173659,1.450878391,-0.2307001394
6.469468208,1.661092225,1.070818729,-0.7155743578
6.479434208,1.264472372,1.288049807,-1.13653734
6.489399208,2.721507003,1.405981715,-1.241752138
6.499365208,3.846083279,1.581211073,-1.008662242
6.509330208,3.804504898,1.958852912,-1.029038034
6.519296208,3.275523085,2.899944144,-2.000908718
6.529261208,3.855186224,4.233075399,-2.704563819
6.539227208,4.839947095,5.089788387,-3.457526443
6.549192208,4.363281782,5.23268966,-3.291411139
6.559158208,2.760880984,4.006798094,-2.09321725
6.569123208,0.7251225686,1.423513421,-0.3063748044
6.579089208,-1.641740719,-1.734067231,1.557589784
6.589054208,-4.224580564,-5.757792429,3.494588727
6.599020208,-5.856168909,-9.85565506,5.068713267
6.608985208,-4.979647309,-10.46989337,5.271978271
6.618951208,-3.294322468,-7.005612223,4.617591809
6.628916208,-3.495284253,-3.697939392,4.587799076
6.638882208,-4.361681984,-1.81430097,4.056030188
6.648847208,-4.301159501,-1.015892324,2.625795392
6.658813208,-3.517179737,-1.166865678,1.091376954
6.668778208,-4.071701018,-2.114891124,0.9470378512
6.678744208,-6.85977097,-4.013346975,2.589542947
6.688709208,-9.599040645,-7.053722529,4.157208361
6.698675208,-10.55474582,-11.07574443,4.999317927
6.708640208,-11.04336489,-15.08805938,6.039458655
6.718606208,-10.56281849,-18.02239333,7.529086543
6.728571208,-7.282411226,-18.7934411,8.802452822
6.738537208,-4.530960631,-19.29598005,9.904414991
6.748502208,-2.980229339,-20.79476877,10.89985551
6.758467208,-1.250373127,-22.41411071,11.10987229
6.768433208,0.5565872486,-21.90612566,9.639403975
6.778398208,1.303147902,-18.45832665,6.723484068
6.788364208,0.02770893171,-13.74980947,4.885344585
6.798329208,-1.337300612,-9.291715668,2.634938683
6.808295208,-3.157804893,-5.822680736,-0.8288510048
6.818260208,-8.050875696,-2.635440667,-6.509171335
6.828226208,-2.889204271,0.6228173447,-3.222553158
6.838191208,1.830321171,3.301676511,-0.9290573707
6.848157208,3.535768036,6.158869323,-1.387028258
6.858122208,5.35398664,8.39927327,-1.584611229
6.868088208,7.240428802,8.84454225,-1.422309187
6.878053208,8.726149582,8.55432798,-1.285766469
